Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.9097024758998543,0.8940038684719536,0.9352488870902469,0.9141613924050633
SVM,0.912962063943408,0.8999740192257729,0.9345743963307702,0.9169479187346966
